school,person,round,proposal,value,vote,cutoff.12,cutoff.23,sd.logit
1,301,1,1,61,2,40.1449996886287,71.4649998250892,3.15549964347962
1,301,2,1,43,2,40.1449996886287,71.4649998250892,3.15549964347962
1,301,3,1,6,1,40.1449996886287,71.4649998250892,3.15549964347962
1,301,4,1,11,1,40.1449996886287,71.4649998250892,3.15549964347962
1,301,5,1,99,3,40.1449996886287,71.4649998250892,3.15549964347962
1,301,6,1,13,1,40.1449996886287,71.4649998250892,3.15549964347962
1,301,7,1,21,1,40.1449996886287,71.4649998250892,3.15549964347962
1,301,8,1,97,3,40.1449996886287,71.4649998250892,3.15549964347962
1,301,9,1,16,1,40.1449996886287,71.4649998250892,3.15549964347962
1,301,10,1,68,2,40.1449996886287,71.4649998250892,3.15549964347962
1,301,11,1,53,2,40.1449996886287,71.4649998250892,3.15549964347962
1,301,12,1,84,3,40.1449996886287,71.4649998250892,3.15549964347962
1,301,13,1,35,1,40.1449996886287,71.4649998250892,3.15549964347962
1,301,14,1,93,3,40.1449996886287,71.4649998250892,3.15549964347962
1,301,15,1,36,1,40.1449996886287,71.4649998250892,3.15549964347962
1,301,16,1,79,3,40.1449996886287,71.4649998250892,3.15549964347962
1,301,17,1,70,3,40.1449996886287,71.4649998250892,3.15549964347962
1,301,18,1,92,3,40.1449996886287,71.4649998250892,3.15549964347962
1,301,19,1,9,1,40.1449996886287,71.4649998250892,3.15549964347962
1,301,20,1,58,2,40.1449996886287,71.4649998250892,3.15549964347962
1,301,21,1,72,2,40.1449996886287,71.4649998250892,3.15549964347962
1,301,22,1,62,2,40.1449996886287,71.4649998250892,3.15549964347962
1,301,23,1,97,3,40.1449996886287,71.4649998250892,3.15549964347962
1,301,24,1,87,3,40.1449996886287,71.4649998250892,3.15549964347962
1,301,25,1,96,3,40.1449996886287,71.4649998250892,3.15549964347962
1,301,26,1,22,1,40.1449996886287,71.4649998250892,3.15549964347962
1,301,27,1,83,3,40.1449996886287,71.4649998250892,3.15549964347962
1,301,28,1,50,2,40.1449996886287,71.4649998250892,3.15549964347962
1,301,29,1,21,1,40.1449996886287,71.4649998250892,3.15549964347962
1,301,30,1,94,3,40.1449996886287,71.4649998250892,3.15549964347962
1,302,1,1,20,1,25.2049995040666,77.9099993582338,2.01999900990075
1,302,2,1,73,2,25.2049995040666,77.9099993582338,2.01999900990075
1,302,3,1,66,2,25.2049995040666,77.9099993582338,2.01999900990075
1,302,4,1,85,3,25.2049995040666,77.9099993582338,2.01999900990075
1,302,5,1,79,2,25.2049995040666,77.9099993582338,2.01999900990075
1,302,6,1,79,3,25.2049995040666,77.9099993582338,2.01999900990075
1,302,7,1,31,2,25.2049995040666,77.9099993582338,2.01999900990075
1,302,8,1,67,2,25.2049995040666,77.9099993582338,2.01999900990075
1,302,9,1,64,2,25.2049995040666,77.9099993582338,2.01999900990075
1,302,10,1,49,2,25.2049995040666,77.9099993582338,2.01999900990075
1,302,11,1,44,2,25.2049995040666,77.9099993582338,2.01999900990075
1,302,12,1,3,1,25.2049995040666,77.9099993582338,2.01999900990075
1,302,13,1,22,1,25.2049995040666,77.9099993582338,2.01999900990075
1,302,14,1,89,3,25.2049995040666,77.9099993582338,2.01999900990075
1,302,15,1,31,2,25.2049995040666,77.9099993582338,2.01999900990075
1,302,16,1,43,2,25.2049995040666,77.9099993582338,2.01999900990075
1,302,17,1,14,1,25.2049995040666,77.9099993582338,2.01999900990075
1,302,18,1,53,2,25.2049995040666,77.9099993582338,2.01999900990075
1,302,19,1,29,2,25.2049995040666,77.9099993582338,2.01999900990075
1,302,20,1,32,2,25.2049995040666,77.9099993582338,2.01999900990075
1,302,21,1,90,3,25.2049995040666,77.9099993582338,2.01999900990075
1,302,22,1,32,2,25.2049995040666,77.9099993582338,2.01999900990075
1,302,23,1,28,2,25.2049995040666,77.9099993582338,2.01999900990075
1,302,24,1,66,2,25.2049995040666,77.9099993582338,2.01999900990075
1,302,25,1,90,3,25.2049995040666,77.9099993582338,2.01999900990075
1,302,26,1,16,1,25.2049995040666,77.9099993582338,2.01999900990075
1,302,27,1,83,3,25.2049995040666,77.9099993582338,2.01999900990075
1,302,28,1,93,3,25.2049995040666,77.9099993582338,2.01999900990075
1,302,29,1,48,2,25.2049995040666,77.9099993582338,2.01999900990075
1,302,30,1,34,2,25.2049995040666,77.9099993582338,2.01999900990075
1,303,1,1,85,3,38.97,67.1899992558416,6.28549902553489
1,303,2,1,14,1,38.97,67.1899992558416,6.28549902553489
1,303,3,1,5,1,38.97,67.1899992558416,6.28549902553489
1,303,4,1,83,3,38.97,67.1899992558416,6.28549902553489
1,303,5,1,31,2,38.97,67.1899992558416,6.28549902553489
1,303,6,1,2,1,38.97,67.1899992558416,6.28549902553489
1,303,7,1,95,3,38.97,67.1899992558416,6.28549902553489
1,303,8,1,29,2,38.97,67.1899992558416,6.28549902553489
1,303,9,1,88,3,38.97,67.1899992558416,6.28549902553489
1,303,10,1,21,1,38.97,67.1899992558416,6.28549902553489
1,303,11,1,76,3,38.97,67.1899992558416,6.28549902553489
1,303,12,1,2,1,38.97,67.1899992558416,6.28549902553489
1,303,13,1,97,3,38.97,67.1899992558416,6.28549902553489
1,303,14,1,65,2,38.97,67.1899992558416,6.28549902553489
1,303,15,1,82,3,38.97,67.1899992558416,6.28549902553489
1,303,16,1,48,1,38.97,67.1899992558416,6.28549902553489
1,303,17,1,78,3,38.97,67.1899992558416,6.28549902553489
1,303,18,1,53,2,38.97,67.1899992558416,6.28549902553489
1,303,19,1,43,1,38.97,67.1899992558416,6.28549902553489
1,303,20,1,9,1,38.97,67.1899992558416,6.28549902553489
1,303,21,1,92,3,38.97,67.1899992558416,6.28549902553489
1,303,22,1,27,1,38.97,67.1899992558416,6.28549902553489
1,303,23,1,19,1,38.97,67.1899992558416,6.28549902553489
1,303,24,1,12,1,38.97,67.1899992558416,6.28549902553489
1,303,25,1,97,3,38.97,67.1899992558416,6.28549902553489
1,303,26,1,75,3,38.97,67.1899992558416,6.28549902553489
1,303,27,1,55,2,38.97,67.1899992558416,6.28549902553489
1,303,28,1,48,2,38.97,67.1899992558416,6.28549902553489
1,303,29,1,9,1,38.97,67.1899992558416,6.28549902553489
1,303,30,1,33,1,38.97,67.1899992558416,6.28549902553489
1,304,1,1,67,2,44.8849997215105,65.03,6.67399992508241
1,304,2,1,47,1,44.8849997215105,65.03,6.67399992508241
1,304,3,1,59,2,44.8849997215105,65.03,6.67399992508241
1,304,4,1,30,1,44.8849997215105,65.03,6.67399992508241
1,304,5,1,62,2,44.8849997215105,65.03,6.67399992508241
1,304,6,1,48,1,44.8849997215105,65.03,6.67399992508241
1,304,7,1,6,1,44.8849997215105,65.03,6.67399992508241
1,304,8,1,96,3,44.8849997215105,65.03,6.67399992508241
1,304,9,1,41,2,44.8849997215105,65.03,6.67399992508241
1,304,10,1,65,2,44.8849997215105,65.03,6.67399992508241
1,304,11,1,58,1,44.8849997215105,65.03,6.67399992508241
1,304,12,1,91,3,44.8849997215105,65.03,6.67399992508241
1,304,13,1,89,3,44.8849997215105,65.03,6.67399992508241
1,304,14,1,86,3,44.8849997215105,65.03,6.67399992508241
1,304,15,1,23,1,44.8849997215105,65.03,6.67399992508241
1,304,16,1,90,3,44.8849997215105,65.03,6.67399992508241
1,304,17,1,51,2,44.8849997215105,65.03,6.67399992508241
1,304,18,1,79,3,44.8849997215105,65.03,6.67399992508241
1,304,19,1,34,1,44.8849997215105,65.03,6.67399992508241
1,304,20,1,60,3,44.8849997215105,65.03,6.67399992508241
1,304,21,1,74,3,44.8849997215105,65.03,6.67399992508241
1,304,22,1,51,3,44.8849997215105,65.03,6.67399992508241
1,304,23,1,63,3,44.8849997215105,65.03,6.67399992508241
1,304,24,1,56,2,44.8849997215105,65.03,6.67399992508241
1,304,25,1,45,2,44.8849997215105,65.03,6.67399992508241
1,304,26,1,71,3,44.8849997215105,65.03,6.67399992508241
1,304,27,1,45,2,44.8849997215105,65.03,6.67399992508241
1,304,28,1,35,1,44.8849997215105,65.03,6.67399992508241
1,304,29,1,72,3,44.8849997215105,65.03,6.67399992508241
1,304,30,1,47,1,44.8849997215105,65.03,6.67399992508241
1,305,1,1,53,1,45.14,70.2149983977783,5.024
1,305,2,1,37,1,45.14,70.2149983977783,5.024
1,305,3,1,25,1,45.14,70.2149983977783,5.024
1,305,4,1,15,1,45.14,70.2149983977783,5.024
1,305,5,1,20,1,45.14,70.2149983977783,5.024
1,305,6,1,64,2,45.14,70.2149983977783,5.024
1,305,7,1,23,1,45.14,70.2149983977783,5.024
1,305,8,1,40,2,45.14,70.2149983977783,5.024
1,305,9,1,23,1,45.14,70.2149983977783,5.024
1,305,10,1,18,1,45.14,70.2149983977783,5.024
1,305,11,1,85,3,45.14,70.2149983977783,5.024
1,305,12,1,13,1,45.14,70.2149983977783,5.024
1,305,13,1,90,3,45.14,70.2149983977783,5.024
1,305,14,1,46,2,45.14,70.2149983977783,5.024
1,305,15,1,96,3,45.14,70.2149983977783,5.024
1,305,16,1,16,1,45.14,70.2149983977783,5.024
1,305,17,1,7,1,45.14,70.2149983977783,5.024
1,305,18,1,42,2,45.14,70.2149983977783,5.024
1,305,19,1,90,3,45.14,70.2149983977783,5.024
1,305,20,1,78,3,45.14,70.2149983977783,5.024
1,305,21,1,41,1,45.14,70.2149983977783,5.024
1,305,22,1,72,3,45.14,70.2149983977783,5.024
1,305,23,1,67,2,45.14,70.2149983977783,5.024
1,305,24,1,17,1,45.14,70.2149983977783,5.024
1,305,25,1,31,1,45.14,70.2149983977783,5.024
1,305,26,1,30,1,45.14,70.2149983977783,5.024
1,305,27,1,16,1,45.14,70.2149983977783,5.024
1,305,28,1,58,2,45.14,70.2149983977783,5.024
1,305,29,1,44,1,45.14,70.2149983977783,5.024
1,305,30,1,42,1,45.14,70.2149983977783,5.024
1,306,1,1,46,2,37.9099986810868,75.39999933687,5.37849941898296
1,306,2,1,69,2,37.9099986810868,75.39999933687,5.37849941898296
1,306,3,1,8,1,37.9099986810868,75.39999933687,5.37849941898296
1,306,4,1,31,2,37.9099986810868,75.39999933687,5.37849941898296
1,306,5,1,78,2,37.9099986810868,75.39999933687,5.37849941898296
1,306,6,1,67,2,37.9099986810868,75.39999933687,5.37849941898296
1,306,7,1,35,1,37.9099986810868,75.39999933687,5.37849941898296
1,306,8,1,30,1,37.9099986810868,75.39999933687,5.37849941898296
1,306,9,1,88,3,37.9099986810868,75.39999933687,5.37849941898296
1,306,10,1,90,2,37.9099986810868,75.39999933687,5.37849941898296
1,306,11,1,65,2,37.9099986810868,75.39999933687,5.37849941898296
1,306,12,1,77,3,37.9099986810868,75.39999933687,5.37849941898296
1,306,13,1,77,3,37.9099986810868,75.39999933687,5.37849941898296
1,306,14,1,82,3,37.9099986810868,75.39999933687,5.37849941898296
1,306,15,1,48,2,37.9099986810868,75.39999933687,5.37849941898296
1,306,16,1,63,2,37.9099986810868,75.39999933687,5.37849941898296
1,306,17,1,8,1,37.9099986810868,75.39999933687,5.37849941898296
1,306,18,1,55,2,37.9099986810868,75.39999933687,5.37849941898296
1,306,19,1,76,3,37.9099986810868,75.39999933687,5.37849941898296
