"p90","cmb_regn","urban88","rule2","cutoff","cutoff_cmb","eligible","read92","read88","math92","math88"
0,"Regions 2,5,10",1,3.41499853134155,49.4,49.4,0,57,54.3699989318848,67.0670013427734,51.2599983215332
0,"Regions 6,8",1,31.8149967193604,43.4,43.4,0,85.5149993896484,79.0599975585938,84.6589965820312,71.370002746582
0,"Regions 6,8",1,4.44500112533569,43.4,43.4,0,51.9710006713867,47.7599983215332,53.265998840332,47.9300003051758
0,"Region 13",1,16.7999973297119,46.4,46.4,0,66.3740005493164,65.129997253418,56.3740005493164,61.2700004577637
0,"Regions 2,5,10",1,0.0949989333748817,49.4,49.4,0,52.5,49.2599983215332,50.8730010986328,49.7299995422363
1,"Region 13",1,-2.03000116348267,46.4,46.4,1,55.3330001831055,50.5099983215332,59.0369987487793,38.2299995422363
0,"Regions 6,8",1,3.59999990463257,43.4,43.4,0,67.9909973144531,49.7200012207031,64.1019973754883,44.2799987792969
1,"Regions 2,5,10",1,-2.62499856948853,49.4,49.4,1,67.7779998779297,48.5,73.0899963378906,45.0499992370605
1,"Regions 2,5,10",1,-8.20999717712402,49.4,49.4,1,57.3460006713867,42.4500007629395,52.2840003967285,39.9300003051758
1,"Regions 2,5,10",1,-7.07500314712524,49.4,49.4,1,68.4440002441406,42.439998626709,62.5559997558594,42.2099990844727
0,"Region 9",1,13.4850025177002,47.4,47.4,0,67.2170028686523,60.9500007629395,60.2779998779297,60.8199996948242
0,"Regions 2,5,10",1,5.69999837875366,49.4,49.4,0,72.2959976196289,57.8899993896484,71.6480026245117,52.310001373291
1,"Regions 1,3,4",1,0.235002130270004,51.4,51.4,0,76.2699966430664,50.810001373291,79.0599975585938,52.4599990844727
0,"Region 13",1,5.48999929428101,46.4,46.4,0,60.1349983215332,51.3400001525879,58.476001739502,52.439998626709
0,"Regions 6,8",1,29.0850009918213,43.4,43.4,0,71.1330032348633,73.6900024414062,72.2750015258789,71.2799987792969
1,"Region 13",1,-6.48499917984009,46.4,46.4,1,48.3969993591309,41.3699989318848,45.5040016174316,38.4599990844727
1,"Regions 1,3,4",1,-12.4650020599365,51.4,51.4,1,54.9379997253418,39.5999984741211,53.5800018310547,38.2700004577637
0,"Region 9",1,6.78499746322632,47.4,47.4,0,66.318000793457,50.5299987792969,68.3140029907227,57.8400001525879
0,"Regions 2,5,10",1,25.9450016021729,49.4,49.4,0,82.125,76.5299987792969,81.177001953125,74.1600036621094
0,"Region 13",1,4.91500234603882,46.4,46.4,0,65.8379974365234,53.3300018310547,64.0299987792969,49.2999992370605
1,"Region 13",1,-5.30000162124634,46.4,46.4,1,49.7980003356934,43.25,47.7449989318848,38.9500007629395
0,"Region 13",1,7.40500020980835,46.4,46.4,0,74.6669998168945,57.5099983215332,71.5869979858398,50.0999984741211
0,"Region 13",1,3.77499914169312,46.4,46.4,0,58.4620018005371,53.3199996948242,58.5069999694824,47.0299987792969
0,"Regions 2,5,10",1,7.30500173568726,49.4,49.4,0,67.2490005493164,59.3800010681152,68.1029968261719,54.0299987792969
1,"Region 13",1,-3.74000024795532,46.4,46.4,1,62.2919998168945,44.2599983215332,55.625,41.060001373291
1,"Region 13",1,-3.87999963760376,46.4,46.4,1,53.2960014343262,42.8899993896484,48.1110000610352,42.1500015258789
0,"Regions 2,5,10",1,18.5850009918213,49.4,49.4,0,79.7060012817383,70.7200012207031,80.2959976196289,65.25
1,"Region 13",1,-1.76499783992767,46.4,46.4,1,57.9690017700195,46.189998626709,56.1399993896484,43.0800018310547
0,"Region 13",1,6.60499715805054,46.4,46.4,0,64.6039962768555,55.0699996948242,65.8410034179688,50.939998626709
1,"Regions 1,3,4",1,-8.63500022888184,51.4,51.4,1,66.5930023193359,43.5200004577637,75.3410034179688,42.0099983215332
0,"Regions 2,5,10",1,1.2650009393692,49.4,49.4,0,61.7589988708496,52.1100006103516,58.4000015258789,49.2200012207031
0,"Regions 2,5,10",1,5.11000204086304,49.4,49.4,0,68.870002746582,55.439998626709,65.197998046875,53.5800018310547
1,"Region 13",1,-7.60000085830688,46.4,46.4,1,55.6479988098145,37.5299987792969,49.8289985656738,40.0699996948242
0,"Regions 6,8",1,14.7149982452393,43.4,43.4,0,68.1110000610352,62.810001373291,71.8880004882812,53.4199981689453
0,"Region 13",1,24.4650058746338,46.4,46.4,0,74.0449981689453,73.4000015258789,82.1780014038086,68.3300018310547
0,"Region 13",1,10.6800022125244,46.4,46.4,0,56.8089981079102,60.25,59.8330001831055,53.9099998474121
0,"Regions 2,5,10",1,1.72500002384186,49.4,49.4,0,64.6790008544922,52.9599990844727,64.8539962768555,49.2900009155273
0,"Regions 2,5,10",1,1.27500307559967,49.4,49.4,0,66.6389999389648,51.0800018310547,66.1240005493164,50.2700004577637
0,"Region 7",1,6.19500112533569,42.4,42.4,0,58.9930000305176,50.8600006103516,62.9749984741211,46.3300018310547
0,"Regions 2,5,10",1,-0.760000586509705,49.4,49.4,1,60.9910011291504,50.2700004577637,62.0169982910156,47.0099983215332
0,"Regions 6,8",1,9.57000160217285,43.4,43.4,0,40.2120018005371,57.9799995422363,41.798999786377,47.9599990844727
0,"Region 9",1,0.675000786781311,47.4,47.4,0,55.867000579834,48.3400001525879,55.8600006103516,47.810001373291
0,"Region 13",1,5.4549994468689,46.4,46.4,0,58.3330001831055,52.1599998474121,59.8839988708496,51.5499992370605
0,"Regions 6,8",1,5.90999746322632,43.4,43.4,0,69.3420028686523,47.8199996948242,68.5260009765625,50.7999992370605
0,"Regions 6,8",1,4.03000020980835,43.4,43.4,0,60.2080001831055,49.4799995422363,61.4140014648438,45.3800010681152
0,"Regions 6,8",1,12.415002822876,43.4,43.4,0,66.4800033569336,57.7900009155273,66.2220001220703,53.8400001525879
