Data from an experiment on the effect on milk production of an
additive to the diet of 50 cows.  Table 7.5 from Bayesian Data
Analysis.

level lactation age initial.weight dry milk fat solids final.weight protein
  0  3  49  1360  15.429  45.552  3.88  8.96  1442  3.67 
  0  3  47  1498  18.799  66.221  3.40  8.44  1565  3.03 
  0  2  36  1265  17.948  63.032  3.44  8.70  1315  3.40 
  0  2  33  1190  18.267  68.421  3.42  8.30  1285  3.37 
  0  2  31  1145  17.253  59.671  3.01  9.04  1182  3.61 
  0  1  22  1035  13.046  44.045  2.97  8.60  1043  3.03 
  0  1  34  1090  13.388  55.153  2.99  8.46  1030  3.31 
  0  1  21   960  14.907  46.957  3.54  8.78  1057  3.48 
  0  3  65  1495  19.878  63.948  2.65  9.04  1520  3.42 
  0  3  61  1439  14.273  65.994  4.04  8.51  1300  3.27 
  0  6  95  1426  15.975  57.603  3.21  8.45  1478  3.31 
  0  5  75  1473  19.530  63.254  3.48  8.58  1482  3.32
0.1  6  89  1369  14.754  57.053  4.60  8.60  1268  3.62 
0.1  4  74  1656  17.359  69.699  2.91  8.94  1593  3.12 
0.1  3  45  1466  16.422  71.337  3.55  8.93  1390  3.30 
0.1  2  34  1316  17.149  68.276  3.08  8.84  1315  3.40 
0.1  2  36  1164  16.217  74.573  3.45  8.66  1168  3.31 
0.1  2  41  1272  17.986  66.672  3.43  9.19  1188  3.59 
0.1  2  38  1369  16.890  72.237  3.15  8.79  1432  2.97 
0.1  2  34   990  16.669  58.168  2.99  8.98   998  3.47 
0.1  1  30  1110  15.688  48.063  3.99  9.04  1190  3.74 
0.1  1  24  1200  15.763  60.412  3.43  8.84  1220  3.30 
0.1  1  23  1155  13.970  45.128  3.24  8.38  1153  3.17 
0.1  1  22  1080  16.705  53.759  3.39  9.01  1145  3.56 
0.1  1  24  1145  16.710  52.799  3.42  8.79  1177  3.37
0.2  3  45  1362  19.998  76.604  4.29  8.44  1273  3.41 
0.2  3  49  1305  19.713  64.536  3.94  8.82  1305  3.21 
0.2  3  48  1268  16.813  71.771  2.89  8.41  1248  3.06 
0.2  3  44  1315  15.127  59.323  3.13  8.72  1270  3.26 
0.2  2  40  1180  19.549  62.484  3.36  8.51  1285  3.21 
0.2  2  35  1190  19.142  70.178  3.92  8.94  1168  3.28 
0.2  2  33  1248  15.475  48.013  3.90  8.94  1217  3.48 
0.2  1  23  1104  14.536  60.140  3.76  8.57  1038  3.28 
0.2  1  26   987  12.708  56.506  3.34  8.66   968  2.89 
0.2  1  22   935  12.612  40.245  3.90  8.92   995  3.78 
0.2  1  21   900  14.616  45.791  3.34  8.74  1032  3.25 
0.2  4  57  1286  12.413  59.373  3.46  8.05  1110  2.86 
0.2  3  66  1468  11.420  54.281  3.53  7.81  1165  3.18
0.3  5  81  1458  20.458  71.558  3.69  8.48  1432  3.17 
0.3  3  49  1515  19.861  56.226  4.96  9.17  1413  3.72 
0.3  3  48  1310  18.379  49.543  3.78  8.41  1390  3.67 
0.3  3  46  1215  18.000  55.351  4.22  8.94  1212  3.80 
0.3  3  49  1346  19.636  64.509  4.16  8.74  1318  3.31 
0.3  3  46  1428  19.586  74.430  3.92  8.75  1333  3.37 
0.3  2  35  1220  17.576  68.030  4.27  8.84  1120  3.15 
0.3  1  27  1292  14.359  46.888  3.38  8.92  1353  3.27 
0.3  1  25  1086  12.280  53.164  3.13  8.32  1037  3.00 
0.3  1  25  1085  14.484  53.096  3.91  8.36  1010  3.14 
0.3  1  21  1076  13.625  50.471  3.50  8.40  1042  3.17 
0.3  4  64  1656  18.066  66.619  4.52  8.83  1550  3.33
